Classifier,Cross_Validation_Accuracy
Gradient Boosting,0.515007854
Gradient Boosting,0.513611513
HistGradientBoosting,0.512890821
HistGradientBoosting,0.511049677
HistGradientBoosting,0.50985603
HistGradientBoosting,0.509490054
LDA,0.447251516
LightGBM,0.446587128
LDA,0.446271825
LDA,0.445832653
LDA,0.445489198
Bagging,0.444216726
LightGBM,0.443051231
XGBoost,0.439064902
LDA,0.438428666
XGBoost,0.438113363
LDA,0.438045798
LDA,0.437764277
LDA,0.437730495
LDA,0.437409562
LDA,0.436728282
KNN,0.436553739
LDA,0.435793634
LDA,0.435697917
SGD,0.435658504
Random Forest,0.432437911
LDA,0.430433485
SGD,0.429543881
Bagging,0.42774215
LDA,0.427488781
Extra Trees,0.425670159
SGD,0.420523966
LDA,0.420523966
CatBoost,0.420388836
LDA,0.420146728
CatBoost,0.420096055
LDA,0.419797643
LDA,0.419594948
SGD,0.41934721
LDA,0.418040956
SGD,0.41727522
LDA,0.417252698
LDA,0.416627723
LDA,0.416627723
LDA,0.41644755
LightGBM,0.415653662
XGBoost,0.415107513
HistGradientBoosting,0.413018631
HistGradientBoosting,0.412326091
SGD,0.412190961
MLP,0.411948853
MLP,0.411639181
SGD,0.410456795
SGD,0.410406121
SGD,0.410209057
Gradient Boosting,0.410090818
Gradient Boosting,0.409584082
LDA,0.40942643
SGD,0.409156171
SGD,0.408542456
HistGradientBoosting,0.406712573
LightGBM,0.406684421
Bagging,0.40666753
Decision Tree,0.406656269
Extra Trees,0.406656269
Random Forest,0.406656269
XGBoost,0.405451362
LightGBM,0.405366906
SGD,0.405299341
MLP,0.40529371
Gradient Boosting,0.405254297
Bagging,0.404888321
CatBoost,0.404865799
XGBoost,0.404696887
Gradient Boosting,0.403869217
SGD,0.403165416
SGD,0.402895156
Gradient Boosting,0.402489767
SGD,0.402405311
CatBoost,0.402225138
XGBoost,0.402202616
HistGradientBoosting,0.401937987
CatBoost,0.401752183
HistGradientBoosting,0.401740922
CatBoost,0.40171277
LightGBM,0.401667727
SGD,0.400367103
HistGradientBoosting,0.399443716
MLP,0.399201608
SGD,0.397951657
LightGBM,0.394229957
MLP,0.39316581
Gradient Boosting,0.393086984
Logistic Regression,0.392602769
XGBoost,0.392225532
MLP,0.3915161
MLP,0.391262732
SGD,0.390919277
QDA,0.390322454
CatBoost,0.388526353
Gaussian Naive Bayes,0.388171637
Gradient Boosting,0.387901378
Logistic Regression,0.387805661
LDA,0.387214468
LDA,0.387214468
Logistic Regression,0.387130012
LDA,0.386989252
Logistic Regression,0.386955469
LDA,0.386752774
LDA,0.386544449
SGD,0.386516297
SGD,0.386403689
Logistic Regression,0.386060234
HistGradientBoosting,0.385328281
SVM,0.385232564
Decision Tree,0.385125586
LDA,0.384697675
SVM,0.38449498
Extra Trees,0.384399264
Decision Tree,0.384393633
Extra Trees,0.384055809
KNN,0.383971352
Decision Tree,0.383571593
SVM,0.382642576
LDA,0.382316012
SVM,0.382310382
SGD,0.38187684
SVM,0.381341952
SVM,0.38131943
Bagging,0.380953453
Random Forest,0.380615629
Random Forest,0.380351
Bagging,0.380193348
SGD,0.378920876
Gaussian Naive Bayes,0.378628095
KNN,0.378470443
SVM,0.377670925
Gaussian Naive Bayes,0.377608991
Decision Tree,0.377006537
SVM,0.375311784
Gaussian Naive Bayes,0.373419967
Logistic Regression,0.372429015
SGD,0.371578823
SVM,0.37153941
Gaussian Naive Bayes,0.371443693
Logistic Regression,0.369878439
Logistic Regression,0.362784124
SVM,0.361911411
Logistic Regression,0.360683982
Random Forest,0.358127776
SGD,0.357378932
SGD,0.354777683
SVM,0.354631293
SGD,0.352170804
SVM,0.350335291
KNN,0.344558492
Logistic Regression,0.343894103
Random Forest,0.34384343
KNN,0.341540592
Logistic Regression,0.341484288
KNN,0.341298485
SVM,0.339288429
Logistic Regression,0.339108256
SVM,0.339085734
Extra Trees,0.33888867
SVM,0.33378752
Random Forest,0.331552247
Decision Tree,0.330769621
SVM,0.330611969
Extra Trees,0.330037667
SVM,0.329778669
Extra Trees,0.328292241
Logistic Regression,0.327425158
Bagging,0.327098594
KNN,0.324272129
SVM,0.321411881
SGD,0.320387147
Logistic Regression,0.320105626
SVM,0.316626034
SVM,0.310973104
Logistic Regression,0.308141008
SVM,0.306406842
Gaussian Naive Bayes,0.303051118
Logistic Regression,0.300635673
Gaussian Naive Bayes,0.298755117
Logistic Regression,0.298011903
Decision Tree,0.292088713
Logistic Regression,0.291801562
SGD,0.29163828
