Classifier,Cross_Validation_Accuracy
LightGBM,0.859167077
HistGradientBoosting,0.856031981
HistGradientBoosting,0.855073654
LightGBM,0.851418323
LightGBM,0.851076064
HistGradientBoosting,0.850528449
KNN,0.846380264
HistGradientBoosting,0.846270741
LightGBM,0.842368983
KNN,0.839891025
KNN,0.839849953
HistGradientBoosting,0.839589836
Bagging,0.838672581
LightGBM,0.837974372
HistGradientBoosting,0.837317233
MLP,0.83720771
Decision Tree,0.835482723
Decision Tree,0.834620229
MLP,0.834182137
Bagging,0.832525601
LightGBM,0.832388697
Decision Tree,0.831635726
LightGBM,0.831115492
Decision Tree,0.830704781
MLP,0.826844094
HistGradientBoosting,0.826214337
Extra Trees,0.82561196
Random Forest,0.825584579
Decision Tree,0.824968512
Decision Tree,0.824694705
Decision Tree,0.824639943
Decision Tree,0.823339357
Extra Trees,0.822326269
LightGBM,0.818670938
HistGradientBoosting,0.814632276
XGBoost,0.813263239
KNN,0.81079897
LightGBM,0.809936477
MLP,0.804966869
HistGradientBoosting,0.803132359
HistGradientBoosting,0.802434149
XGBoost,0.802310936
HistGradientBoosting,0.801900225
XGBoost,0.799463337
LightGBM,0.798450249
LightGBM,0.797259186
Random Forest,0.796862165
KNN,0.796821094
LightGBM,0.795917529
KNN,0.795766935
Extra Trees,0.795753245
Decision Tree,0.795369914
Random Forest,0.794315755
Bagging,0.792933027
Decision Tree,0.792536006
XGBoost,0.791399704
MLP,0.791153277
XGBoost,0.790605662
Bagging,0.787539018
HistGradientBoosting,0.786881879
Extra Trees,0.78581403
HistGradientBoosting,0.784513444
Random Forest,0.784143804
HistGradientBoosting,0.783185477
XGBoost,0.783103335
MLP,0.780858113
HistGradientBoosting,0.780789661
LightGBM,0.779981929
XGBoost,0.779831335
LightGBM,0.778284322
LightGBM,0.778256941
Decision Tree,0.777914682
Bagging,0.777818849
LightGBM,0.777668255
Decision Tree,0.775874815
MLP,0.77569684
MLP,0.774889108
XGBoost,0.773985543
XGBoost,0.770371283
XGBoost,0.769015936
MLP,0.768673676
HistGradientBoosting,0.767140354
HistGradientBoosting,0.767071902
XGBoost,0.766798094
MLP,0.766086195
MLP,0.765429056
LightGBM,0.760623734
MLP,0.760267784
MLP,0.759993976
LightGBM,0.757926729
KNN,0.757310662
HistGradientBoosting,0.755927934
XGBoost,0.754627348
LightGBM,0.751327967
MLP,0.751314276
MLP,0.749383933
Extra Trees,0.748986912
Extra Trees,0.747179782
Bagging,0.746919665
XGBoost,0.745044083
HistGradientBoosting,0.74422266
Random Forest,0.744017305
MLP,0.742552434
XGBoost,0.737884015
LightGBM,0.736829856
Decision Tree,0.736200099
LightGBM,0.735679864
HistGradientBoosting,0.735625103
XGBoost,0.734050709
Decision Tree,0.73372214
XGBoost,0.725590055
Random Forest,0.721701988
Decision Tree,0.720168665
Bagging,0.71925141
Decision Tree,0.718279393
HistGradientBoosting,0.717704397
XGBoost,0.71452823
MLP,0.711516346
LightGBM,0.711475275
MLP,0.710777066
XGBoost,0.70949017
XGBoost,0.70838125
Gradient Boosting,0.706875308
HistGradientBoosting,0.7066015
LightGBM,0.701563441
CatBoost,0.701029516
Gradient Boosting,0.699386671
Gradient Boosting,0.697620612
CatBoost,0.69755216
Decision Tree,0.696128361
CatBoost,0.69466349
CatBoost,0.693376595
Random Forest,0.690953398
MLP,0.690255189
Gradient Boosting,0.689420076
Decision Tree,0.689159958
Extra Trees,0.688995674
XGBoost,0.687530803
CatBoost,0.686805213
Gradient Boosting,0.684943322
Gradient Boosting,0.684669514
MLP,0.684217732
HistGradientBoosting,0.684067138
CatBoost,0.683697497
Bagging,0.683108811
CatBoost,0.681041564
XGBoost,0.679768359
LightGBM,0.678673129
MLP,0.678536225
CatBoost,0.678262417
HistGradientBoosting,0.677043973
CatBoost,0.676811237
Gradient Boosting,0.676482668
Gradient Boosting,0.674648157
MLP,0.674155304
MLP,0.672964241
Gradient Boosting,0.672772575
LightGBM,0.672334483
Gradient Boosting,0.671225563
CatBoost,0.670116642
CatBoost,0.666228575
XGBoost,0.664161327
CatBoost,0.663449428
Gradient Boosting,0.662477411
HistGradientBoosting,0.66171075
LightGBM,0.661614917
CatBoost,0.65953398
Gradient Boosting,0.658383988
Decision Tree,0.657644707
CatBoost,0.656261979
Gradient Boosting,0.655700674
XGBoost,0.650594162
Decision Tree,0.648923936
CatBoost,0.648718581
MLP,0.647349543
XGBoost,0.646254312
MLP,0.641668036
Gradient Boosting,0.641134111
Gradient Boosting,0.640244236
KNN,0.639176387
Decision Tree,0.635589508
CatBoost,0.634685943
HistGradientBoosting,0.632495482
LightGBM,0.632481792
MLP,0.632262746
Extra Trees,0.630647281
Random Forest,0.630647281
Bagging,0.630578829
Decision Tree,0.630565139
XGBoost,0.627498494
Gradient Boosting,0.627443733
CatBoost,0.624911013
LightGBM,0.620352117
HistGradientBoosting,0.619530694
Gradient Boosting,0.616587262
MLP,0.612178961
CatBoost,0.609878977
XGBoost,0.608961722
Decision Tree,0.607195663
XGBoost,0.607017688
CatBoost,0.601856415
Gradient Boosting,0.599693336
Gradient Boosting,0.599515361
CatBoost,0.597393352
Decision Tree,0.593669569
CatBoost,0.592204699
CatBoost,0.589425552
KNN,0.584319041
Gradient Boosting,0.58284048
Gradient Boosting,0.581320848
CatBoost,0.579171458
HistGradientBoosting,0.578692295
Decision Tree,0.577542303
XGBoost,0.577528613
LightGBM,0.574147089
MLP,0.570957231
CatBoost,0.560949565
Gradient Boosting,0.55896446
Gradient Boosting,0.557307924
Gradient Boosting,0.556883522
LDA,0.553228191
CatBoost,0.549901429
LDA,0.549518099
XGBoost,0.544274684
MLP,0.537936039
LDA,0.535786649
SGD,0.533856306
Gradient Boosting,0.532980122
LDA,0.532774766
Gradient Boosting,0.530023
Gradient Boosting,0.520946279
Decision Tree,0.514402278
LDA,0.514388588
CatBoost,0.512129675
LDA,0.509569575
HistGradientBoosting,0.509350528
LDA,0.506311264
CatBoost,0.50577734
SGD,0.504408302
LightGBM,0.504093423
SGD,0.502779147
SGD,0.501766059
LDA,0.501382728
SGD,0.500095833
LDA,0.499164887
LDA,0.495687531
LDA,0.494455397
Gradient Boosting,0.493154811
SGD,0.491142325
LDA,0.490882208
SGD,0.487514375
CatBoost,0.484680467
XGBoost,0.484214994
SGD,0.480518592
MLP,0.47901265
LDA,0.478903127
LDA,0.476863261
LDA,0.472099009
LDA,0.471031159
CatBoost,0.470045452
SGD,0.469785335
Gradient Boosting,0.469141887
SGD,0.458436011
LDA,0.450125951
SGD,0.44970155
SGD,0.447511089
SGD,0.445827173
LDA,0.445142654
SGD,0.441158754
CatBoost,0.440706971
LDA,0.439447456
LDA,0.437654017
SGD,0.434067138
LDA,0.43126061
LDA,0.429289196
SGD,0.428618367
LDA,0.42693445
LDA,0.422101747
Gradient Boosting,0.421677345
SGD,0.421608893
LDA,0.41243634
SGD,0.409588741
LDA,0.401018564
SGD,0.40085428
SGD,0.397185258
SGD,0.395898363
LDA,0.390586496
LDA,0.389080554
SGD,0.388546629
HistGradientBoosting,0.38494606
XGBoost,0.384261541
LightGBM,0.384206779
SGD,0.383015717
QDA,0.382659767
CatBoost,0.379374076
MLP,0.376937189
Gradient Boosting,0.376143147
SGD,0.376129456
SGD,0.37011938
LDA,0.364780133
SGD,0.361193253
Random Forest,0.358633153
Gaussian Naive Bayes,0.357524232
Extra Trees,0.356894475
Bagging,0.354881989
QDA,0.354389135
LDA,0.352499863
Gaussian Naive Bayes,0.350459997
SGD,0.347174306
Gaussian Naive Bayes,0.345558841
Logistic Regression,0.343409452
Gaussian Naive Bayes,0.342807075
QDA,0.341232682
QDA,0.341232682
QDA,0.341232682
QDA,0.341232682
QDA,0.341232682
QDA,0.341218991
QDA,0.341218991
QDA,0.339535075
Gaussian Naive Bayes,0.3379333
Logistic Regression,0.336701166
Gaussian Naive Bayes,0.336687476
Logistic Regression,0.336057719
Logistic Regression,0.332744647
Logistic Regression,0.332224413
LDA,0.331841082
Gaussian Naive Bayes,0.3299655
KNN,0.328281584
Gaussian Naive Bayes,0.328103609
QDA,0.326008981
QDA,0.324037566
Gaussian Naive Bayes,0.315878101
Decision Tree,0.315084059
QDA,0.313892996
QDA,0.312003724
Logistic Regression,0.300216308
QDA,0.300120475
Logistic Regression,0.298313345
SGD,0.294069328
SGD,0.293124692
Logistic Regression,0.28797711
QDA,0.282459887
SGD,0.281638464
Logistic Regression,0.280680138
Gaussian Naive Bayes,0.26990581
Logistic Regression,0.269426647
Logistic Regression,0.265086797
QDA,0.262595148
Gaussian Naive Bayes,0.253833306
Gaussian Naive Bayes,0.249835715
Gaussian Naive Bayes,0.249096435
QDA,0.247905372
SVM,0.238308417
Logistic Regression,0.234831061
Gaussian Naive Bayes,0.234625705
SGD,0.234598324
Logistic Regression,0.230984064
Gaussian Naive Bayes,0.227903729
QDA,0.223495427
Logistic Regression,0.222674005
Logistic Regression,0.219579979
Logistic Regression,0.216691309
SVM,0.208737199
Logistic Regression,0.207149116
Logistic Regression,0.206177099
Logistic Regression,0.202699743
Logistic Regression,0.202289031
QDA,0.18922841
Logistic Regression,0.180384426
QDA,0.173374952
QDA,0.171663655
QDA,0.170650567
QDA,0.170376759
QDA,0.169952357
Logistic Regression,0.168391654
QDA,0.167118449
QDA,0.165941077
QDA,0.165256558
Logistic Regression,0.163805378
SVM,0.120037238
Logistic Regression,0.119804501
SVM,0.110221237
Logistic Regression,0.106346859
Logistic Regression,0.102664148
SVM,0.099200482
Logistic Regression,0.093902305
SVM,0.093382071
Logistic Regression,0.091780297
Logistic Regression,0.08937079
Logistic Regression,0.077158973
Logistic Regression,0.074434587
SVM,0.069903072
SVM,0.069232244
SVM,0.061784678
SVM,0.058430535
SVM,0.053693664
SVM,0.053351405
SVM,0.052228794
SVM,0.049134768
Gaussian Naive Bayes,0.044931822
Gaussian Naive Bayes,0.044835989
Gaussian Naive Bayes,0.044712776
Gaussian Naive Bayes,0.044548491
Gaussian Naive Bayes,0.044315755
Gaussian Naive Bayes,0.044260993
Gaussian Naive Bayes,0.044000876
Gaussian Naive Bayes,0.043973495
Gaussian Naive Bayes,0.043836592
Gaussian Naive Bayes,0.043809211
Gaussian Naive Bayes,0.043727069
Gaussian Naive Bayes,0.043699688
Gaussian Naive Bayes,0.043439571
Gaussian Naive Bayes,0.043343738
Gaussian Naive Bayes,0.042399102
SVM,0.041673512
Gaussian Naive Bayes,0.04123542
SVM,0.041030064
SVM,0.03871639
SVM,0.036402716
SVM,0.036074147
SVM,0.035992005
SVM,0.035540222
QDA,0.035512842
QDA,0.035512842
SVM,0.035239034
SVM,0.034883084
SVM,0.03473249
SVM,0.034677728
SVM,0.03436285
SVM,0.033431904
SVM,0.033144406
SVM,0.02712064
SVM,0.021617107
SVM,0.017263567
QDA,0.014635015
