Classifier,Cross_Validation_Accuracy
Extra Trees,0.969374624
Extra Trees,0.965322272
Random Forest,0.960065166
Extra Trees,0.958846723
Random Forest,0.955903291
Extra Trees,0.953808663
Random Forest,0.952439625
Extra Trees,0.95115273
Bagging,0.949619407
Extra Trees,0.949578336
Bagging,0.947264662
Random Forest,0.946566453
Random Forest,0.945348009
Extra Trees,0.942870051
Random Forest,0.941432561
KNN,0.94067959
Bagging,0.940419473
Extra Trees,0.940378402
Bagging,0.940351021
Random Forest,0.937831992
Extra Trees,0.936859975
KNN,0.936517715
Bagging,0.934683205
Bagging,0.933656426
Extra Trees,0.933464761
Bagging,0.933218334
Random Forest,0.932958217
KNN,0.932040962
Random Forest,0.930671924
KNN,0.92692076
Bagging,0.92656481
Extra Trees,0.924456492
Extra Trees,0.923511856
Bagging,0.923142216
Random Forest,0.923046383
KNN,0.922608291
KNN,0.922238651
Bagging,0.919637479
Extra Trees,0.91713214
Bagging,0.91532501
Random Forest,0.914791085
Random Forest,0.913312524
KNN,0.912340507
KNN,0.911929796
Extra Trees,0.90990362
Random Forest,0.909123268
Extra Trees,0.908028038
Random Forest,0.907904824
KNN,0.90739828
Random Forest,0.906727452
KNN,0.906508406
Bagging,0.905111987
KNN,0.904756037
KNN,0.904331636
Bagging,0.904153661
Random Forest,0.903742949
Bagging,0.903209025
Extra Trees,0.901634631
Extra Trees,0.899444171
Random Forest,0.899375719
Bagging,0.897417995
Extra Trees,0.897157877
KNN,0.895583484
KNN,0.895295986
Bagging,0.894036471
Random Forest,0.893858496
KNN,0.89362576
Random Forest,0.892681124
Extra Trees,0.890709709
Bagging,0.890586496
Bagging,0.889874596
Extra Trees,0.887560922
KNN,0.885411533
Decision Tree,0.884562729
Extra Trees,0.883303215
Decision Tree,0.881427633
Random Forest,0.881208587
Random Forest,0.879031816
KNN,0.877977657
Bagging,0.873802092
KNN,0.872912217
KNN,0.870721757
Decision Tree,0.870721757
Decision Tree,0.870434259
KNN,0.868613438
Extra Trees,0.866751547
Bagging,0.864136685
HistGradientBoosting,0.862726576
Bagging,0.86253491
Random Forest,0.860453973
KNN,0.859837906
